Part number,Part name,Location,Price,Balance,Unit,Value,WH
101005,"Bucket GB2-S40 (W900mm/35"")",080201,702.55,1.00,Pcs,702.55,STD
101005,"Bucket GB2-S40 (W900mm/35"")",080303,702.55,1.00,Pcs,702.55,STD
101005,"Bucket GB2-S40 (W900mm/35"")",080203,702.55,1.00,Pcs,702.55,STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080404,859.13,1.00,Pcs,859.13,STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080103,859.13,3.00,Pcs,"2,577.39",STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080101,859.13,1.00,Pcs,859.13,STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080202,859.13,2.00,Pcs,"1,718.26",STD
101007,"Bucket GB3-S40 (W1000mm/39"")",050804,859.13,1.00,Pcs,859.13,STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080102,859.13,2.00,Pcs,"1,718.26",STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080603,859.13,3.00,Pcs,"2,577.39",STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080304,859.13,2.00,Pcs,"1,718.26",STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080104,859.13,3.00,Pcs,"2,577.39",STD
101007,"Bucket GB3-S40 (W1000mm/39"")",060502,859.13,1.00,Pcs,859.13,STD
101007,"Bucket GB3-S40 (W1000mm/39"")",080303,859.13,1.00,Pcs,859.13,STD
101009,"Bucket GB4-S40 (W1100mm/43"")",080402,"1,054.58",1.00,Pcs,"1,054.58",STD
101009,"Bucket GB4-S40 (W1100mm/43"")",080404,"1,054.58",1.00,Pcs,"1,054.58",STD
101009,"Bucket GB4-S40 (W1100mm/43"")",060602,"1,054.58",1.00,Pcs,"1,054.58",STD
101009,"Bucket GB4-S40 (W1100mm/43"")",060604,"1,054.58",1.00,Pcs,"1,054.58",STD
101010,"Bucket GB4-S40 (W914mm/36"").",080502,954.34,1.00,Pcs,954.34,STD
101010,"Bucket GB4-S40 (W914mm/36"").",101010,954.34,1.00,Pcs,954.34,STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080503,"1,127.11",2.00,Pcs,"2,254.22",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080804,"1,127.11",2.00,Pcs,"2,254.22",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080803,"1,127.11",3.00,Pcs,"3,381.33",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080103,"1,127.11",1.00,Pcs,"1,127.11",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080704,"1,127.11",3.00,Pcs,"3,381.33",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",070804,"1,127.11",1.00,Pcs,"1,127.11",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",070204,"1,127.11",1.00,Pcs,"1,127.11",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",060301,"1,127.11",1.00,Pcs,"1,127.11",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080403,"1,127.11",1.00,Pcs,"1,127.11",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080203,"1,127.11",1.00,Pcs,"1,127.11",STD
101012,"Bucket GB5-S40 (W1200mm/47"")",080703,"1,127.11",1.00,Pcs,"1,127.11",STD
101016,"Bucket GB6-S50 (W1300mm/51"")",ZONE 4,"1,365.85",11.00,Pcs,"15,024.35",STD
101016,"Bucket GB6-S50 (W1300mm/51"")",ZONE 3,"1,365.85",1.00,Pcs,"1,365.85",STD
101016,"Bucket GB6-S50 (W1300mm/51"")",060703,"1,365.85",1.00,Pcs,"1,365.85",STD
101020,"Bucket GB9-S50 (W1400mm/55"")",ZONE 4,"2,264.56",6.00,Pcs,"13,587.36",STD
101024,"Bucket GB12-S50 (W1500mm/59"")",ZONE 4,"2,548.17",1.00,Pcs,"2,548.17",STD
101024,"Bucket GB12-S50 (W1500mm/59"")",ZONE 5,"2,548.17",1.00,Pcs,"2,548.17",STD
101026,"Bucket GB14-S60 (W1500mm/59"")",ZONE 4,"2,873.27",17.00,Pcs,"48,845.59",STD
101026,"Bucket GB14-S60 (W1500mm/59"")",ZONE 3,"2,873.27",1.00,Pcs,"2,873.27",STD
101028,"Bucket GB15-S60 (W1600mm/63"")",ZONE4,"3,362.14",1.00,Pcs,"3,362.14",STD
101028,"Bucket GB15-S60 (W1600mm/63"")",ZONE 3,"3,362.14",2.00,Pcs,"6,724.28",STD
101036,"Bucket GB20-S70 (W1800mm/71"")",ZONE 5,"5,193.65",2.00,Pcs,"10,387.30",STD
101036,"Bucket GB20-S70 (W1800mm/71"")",ZONE 4,"5,193.65",5.00,Pcs,"25,968.25",STD
101044,"Bucket GB30-S80 (W2000mm/79"")",ZONE 6,"8,206.69",1.00,Pcs,"8,206.69",STD
101049,"Bucket DB1T-S30/180 (W400mm/16"")",070703,444.28,2.00,Pcs,888.56,STD
101049,"Bucket DB1T-S30/180 (W400mm/16"")",070704,444.28,2.00,Pcs,888.56,STD
101050,"Bucket DB2-S30/180 (W450mm/18"")",070104,529.54,1.00,Pcs,529.54,STD
101051,"Bucket DB2T-S30/180 (W450mm/18"")",070104,726.65,1.00,Pcs,726.65,STD
101051,"Bucket DB2T-S30/180 (W450mm/18"")",070404,726.65,1.00,Pcs,726.65,STD
101051,"Bucket DB2T-S30/180 (W450mm/18"")",080101,726.65,1.00,Pcs,726.65,STD
101051,"Bucket DB2T-S30/180 (W450mm/18"")",060801,726.65,1.00,Pcs,726.65,STD
101052,"Bucket DB2-S40 (W300mm/12"")",060803,705.41,1.00,Pcs,705.41,STD
101054,"Bucket DB2-S40 (W450mm/18"")",070404,621.50,1.00,Pcs,621.50,STD
101055,"Bucket DB2T-S40 (W450mm/18"")",070304,809.97,1.00,Pcs,809.97,STD
101059,"Bucket DB3T-S40 (W500mm/20"")",070702,872.60,3.00,Pcs,"2,617.80",STD
101059,"Bucket DB3T-S40 (W500mm/20"")",070604,872.60,2.00,Pcs,"1,745.20",STD
101059,"Bucket DB3T-S40 (W500mm/20"")",070504,872.60,3.00,Pcs,"2,617.80",STD
101059,"Bucket DB3T-S40 (W500mm/20"")",070304,872.60,2.00,Pcs,"1,745.20",STD
101060,"Bucket DB3T-HS03 (W500mm/20"")",070103,884.08,1.00,Pcs,884.08,STD
101061,"Bucket DB4-S40 (W600mm/24"")",070101,885.84,2.00,Pcs,"1,771.68",STD
101062,"Bucket DB4T-S40 (W305mm/12"")",060704,797.55,4.00,Pcs,"3,190.20",STD
101062,"Bucket DB4T-S40 (W305mm/12"")",STAGING,797.55,1.00,Pcs,797.55,STD
101063,"Bucket DB4T-S40 (W457mm/18"")",070803,975.46,2.00,Pcs,"1,950.92",STD
101063,"Bucket DB4T-S40 (W457mm/18"")",070804,975.46,2.00,Pcs,"1,950.92",STD
101063,"Bucket DB4T-S40 (W457mm/18"")",070102,975.46,3.00,Pcs,"2,926.38",STD
101063,"Bucket DB4T-S40 (W457mm/18"")",060604,975.46,1.00,Pcs,975.46,STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070502,"1,048.99",3.00,Pcs,"3,146.97",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070403,"1,048.99",2.00,Pcs,"2,097.98",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",060104,"1,048.99",1.00,Pcs,"1,048.99",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070202,"1,048.99",2.00,Pcs,"2,097.98",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070201,"1,048.99",4.00,Pcs,"4,195.96",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070202,"1,048.99",2.00,Pcs,"2,097.98",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",060404,"1,048.99",1.00,Pcs,"1,048.99",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",060304,"1,048.99",1.00,Pcs,"1,048.99",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070604,"1,048.99",1.00,Pcs,"1,048.99",STD
101064,"Bucket DB4T-S40 (W600mm/24"")",070203,"1,048.99",1.00,Pcs,"1,048.99",STD
101069,"Bucket DB5T-S40 (W700mm/28"")",070204,"1,222.28",1.00,Pcs,"1,222.28",STD
101069,"Bucket DB5T-S40 (W700mm/28"")",070203,"1,222.28",1.00,Pcs,"1,222.28",STD
101069,"Bucket DB5T-S40 (W700mm/28"")",070303,"1,222.28",1.00,Pcs,"1,222.28",STD
101069,"Bucket DB5T-S40 (W700mm/28"")",QUARANTINE,"1,222.28",1.00,Pcs,"1,222.28",STD
101069,"Bucket DB5T-S40 (W700mm/28"")",070401,"1,222.28",2.00,Pcs,"2,444.56",STD
101069,"Bucket DB5T-S40 (W700mm/28"")",070402,"1,222.28",1.00,Pcs,"1,222.28",STD
101079,"Bucket DB6-S50 (W700mm/28"")",060704,"1,443.06",1.00,Pcs,"1,443.06",STD
101080,"Bucket DB6T-S50 (W700mm/28"")",070503,"1,434.39",1.00,Pcs,"1,434.39",STD
101080,"Bucket DB6T-S50 (W700mm/28"")",070501,"1,434.39",1.00,Pcs,"1,434.39",STD
101080,"Bucket DB6T-S50 (W700mm/28"")",070601,"1,434.39",1.00,Pcs,"1,434.39",STD
101091,"Bucket DB9T-S50 (W457mm/18"")",STAGING,"1,516.80",1.00,Pcs,"1,516.80",STD
101091,"Bucket DB9T-S50 (W457mm/18"")",070601,"1,516.80",1.00,Pcs,"1,516.80",STD
101092,"Bucket DB9-S50 (W600mm/24"")",070301,"1,427.54",1.00,Pcs,"1,427.54",STD
101093,"Bucket DB9T-S50 (W609mm/24"")",QUARANTINE,"1,800.20",1.00,Pcs,"1,800.20",STD
101093,"Bucket DB9T-S50 (W609mm/24"")",070501,"1,800.20",1.00,Pcs,"1,800.20",STD
101094,"Bucket DB9-S50 (W700mm/28"")",070302,"1,655.62",1.00,Pcs,"1,655.62",STD
101095,"Bucket DB9T-S50 (W700mm/28"")",060302,"1,895.83",1.00,Pcs,"1,895.83",STD
101095,"Bucket DB9T-S50 (W700mm/28"")",070701,"1,895.83",3.00,Pcs,"5,687.49",STD
101097,"Bucket DB9T-S50 (W914mm/36"")",ZONE 6,"2,122.84",1.00,Pcs,"2,122.84",STD
101110,"Bucket DB12-S50 (W900mm/35"")",ZONE 6,"2,514.70",1.00,Pcs,"2,514.70",STD
101113,"Bucket DB13T-S60 (W900mm/35"")",ZONE 6,"3,207.59",4.00,Pcs,"12,830.36",STD
101113,"Bucket DB13T-S60 (W900mm/35"")",ZONE 5,"3,207.59",1.00,Pcs,"3,207.59",STD
101116,"Bucket DB14T-S60 (W450mm/18"")",ZONE 5,"2,519.60",1.00,Pcs,"2,519.60",STD
101118,"Bucket DB14T-S60 (W600mm/24"")",ZONE 6,"2,253.91",1.00,Pcs,"2,253.91",STD
101120,"Bucket DB14T-S60 (W950mm/37"")",ZONE 5,"3,488.25",2.00,Pcs,"6,976.50",STD
101124,"Bucket DB15T-S60 (W1400mm/55"")",ZONE 5,"5,295.22",1.00,Pcs,"5,295.22",STD
101126,"Bucket DB15T-S60 (W1000mm/39"")",ZONE 6,"3,794.05",3.00,Pcs,"11,382.15",STD
101141,"Bucket DB20T-S70 (W1050mm/41"")",ZONE 6,"5,329.03",1.00,Pcs,"5,329.03",STD
101141,"Bucket DB20T-S70 (W1050mm/41"")",ZONE 5,"5,329.03",1.00,Pcs,"5,329.03",STD
101144,"Bucket DB20T-S70 (W1200mm/47"")",ZONE 5,"7,215.98",2.00,Pcs,"14,431.96",STD
101146,"Bucket DB25T-S70 (W1250mm/49"")",ZONE 6,"5,933.35",1.00,Pcs,"5,933.35",STD
101153,"Bucket DBT30-S80 (W1300mm/51"")",ZONE 6,"6,703.90",1.00,Pcs,"6,703.90",STD
101155,"Bucket CB2T-S30/180 (W290mm/11"")",060501,358.96,1.00,Pcs,358.96,STD
